,data,first,second
110,"[2, 5, 0, 5, 2, 6, 0, 6, 1, 1, 3, 0, 1, 5, 2, 1, 2, 0, 5, 1]","[2, 5, 0, 5, 2, 6, 0, 6, 1, 1]","[3, 0, 1, 5, 2, 1, 2, 0, 5, 1]"
111,"[0, 4, 3, 4, 1, 1, 4, 2, 1, 4, 4, 0, 3, 0, 0, 3, 4, 2, 0, 4]","[0, 4, 3, 4, 1, 1, 4, 2, 1, 4]","[4, 0, 3, 0, 0, 3, 4, 2, 0, 4]"
112,"[6, 2, 0, 5, 4, 1, 5, 0, 4, 6, 2, 4, 4, 1, 2, 1, 2, 1, 5, 5]","[6, 2, 0, 5, 4, 1, 5, 0, 4, 6]","[2, 4, 4, 1, 2, 1, 2, 1, 5, 5]"
113,"[1, 1, 2, 6, 1, 5, 5, 1, 0, 1, 4, 5, 2, 3, 2, 0, 4, 5, 2, 1]","[1, 1, 2, 6, 1, 5, 5, 1, 0, 1]","[4, 5, 2, 3, 2, 0, 4, 5, 2, 1]"
114,"[2, 3, 3, 5, 4, 6, 1, 3, 6, 3, 6, 5, 1, 1, 1, 2, 2, 1, 2, 5]","[2, 3, 3, 5, 4, 6, 1, 3, 6, 3]","[6, 5, 1, 1, 1, 2, 2, 1, 2, 5]"
115,"[5, 0, 3, 5, 5, 4, 3, 0, 6, 6, 3, 3, 1, 1, 5, 5, 5, 6, 0, 3]","[5, 0, 3, 5, 5, 4, 3, 0, 6, 6]","[3, 3, 1, 1, 5, 5, 5, 6, 0, 3]"
116,"[0, 0, 0, 6, 6, 6, 2, 2, 1, 0, 6, 5, 5, 4, 0, 4, 1, 6, 3, 2]","[0, 0, 0, 6, 6, 6, 2, 2, 1, 0]","[6, 5, 5, 4, 0, 4, 1, 6, 3, 2]"
117,"[6, 5, 4, 0, 6, 0, 6, 6, 3, 6, 2, 5, 3, 3, 5, 4, 1, 6, 3, 2]","[6, 5, 4, 0, 6, 0, 6, 6, 3, 6]","[2, 5, 3, 3, 5, 4, 1, 6, 3, 2]"
118,"[2, 5, 2, 6, 2, 2, 1, 5, 4, 3, 6, 4, 0, 6, 3, 6, 0, 2, 3, 1]","[2, 5, 2, 6, 2, 2, 1, 5, 4, 3]","[6, 4, 0, 6, 3, 6, 0, 2, 3, 1]"
119,"[6, 2, 1, 2, 6, 2, 5, 4, 4, 1, 6, 6, 5, 0, 4, 5, 2, 1, 2, 5]","[6, 2, 1, 2, 6, 2, 5, 4, 4, 1]","[6, 6, 5, 0, 4, 5, 2, 1, 2, 5]"
120,"[1, 2, 1, 3, 2, 4, 0, 5, 5, 1, 0, 4, 3, 0, 6, 1, 4, 4, 4, 4]","[1, 2, 1, 3, 2, 4, 0, 5, 5, 1]","[0, 4, 3, 0, 6, 1, 4, 4, 4, 4]"
121,"[1, 4, 1, 4, 3, 4, 1, 3, 5, 6, 1, 3, 6, 4, 1, 4, 0, 5, 6, 6]","[1, 4, 1, 4, 3, 4, 1, 3, 5, 6]","[1, 3, 6, 4, 1, 4, 0, 5, 6, 6]"
122,"[1, 3, 0, 1, 3, 4, 5, 6, 4, 6, 6, 4, 3, 6, 2, 0, 4, 1, 3, 5]","[1, 3, 0, 1, 3, 4, 5, 6, 4, 6]","[6, 4, 3, 6, 2, 0, 4, 1, 3, 5]"
123,"[6, 3, 3, 2, 4, 5, 6, 6, 6, 0, 1, 3, 1, 2, 2, 1, 5, 1, 1, 3]","[6, 3, 3, 2, 4, 5, 6, 6, 6, 0]","[1, 3, 1, 2, 2, 1, 5, 1, 1, 3]"
124,"[5, 4, 1, 5, 1, 5, 3, 0, 1, 1, 3, 2, 6, 0, 5, 2, 0, 6, 4, 5]","[5, 4, 1, 5, 1, 5, 3, 0, 1, 1]","[3, 2, 6, 0, 5, 2, 0, 6, 4, 5]"
125,"[6, 6, 1, 3, 2, 4, 3, 0, 2, 5, 6, 1, 5, 0, 5, 1, 5, 6, 2, 3]","[6, 6, 1, 3, 2, 4, 3, 0, 2, 5]","[6, 1, 5, 0, 5, 1, 5, 6, 2, 3]"
126,"[0, 6, 0, 1, 3, 5, 4, 4, 0, 3, 6, 4, 4, 5, 0, 0, 5, 5, 5, 2]","[0, 6, 0, 1, 3, 5, 4, 4, 0, 3]","[6, 4, 4, 5, 0, 0, 5, 5, 5, 2]"
127,"[2, 4, 0, 1, 0, 2, 4, 6, 0, 0, 4, 3, 5, 5, 2, 4, 4, 1, 5, 0]","[2, 4, 0, 1, 0, 2, 4, 6, 0, 0]","[4, 3, 5, 5, 2, 4, 4, 1, 5, 0]"
128,"[1, 0, 2, 6, 1, 3, 6, 2, 3, 2, 1, 1, 0, 4, 0, 4, 2, 0, 3, 5]","[1, 0, 2, 6, 1, 3, 6, 2, 3, 2]","[1, 1, 0, 4, 0, 4, 2, 0, 3, 5]"
129,"[3, 2, 6, 0, 6, 3, 1, 2, 4, 6, 6, 2, 6, 3, 1, 6, 5, 6, 5, 1]","[3, 2, 6, 0, 6, 3, 1, 2, 4, 6]","[6, 2, 6, 3, 1, 6, 5, 6, 5, 1]"
130,"[6, 2, 1, 3, 0, 4, 0, 5, 1, 2, 3, 0, 3, 0, 4, 2, 0, 2, 2, 3]","[6, 2, 1, 3, 0, 4, 0, 5, 1, 2]","[3, 0, 3, 0, 4, 2, 0, 2, 2, 3]"
131,"[0, 4, 6, 5, 4, 3, 1, 5, 4, 1, 6, 3, 0, 6, 6, 4, 1, 1, 2, 3]","[0, 4, 6, 5, 4, 3, 1, 5, 4, 1]","[6, 3, 0, 6, 6, 4, 1, 1, 2, 3]"
132,"[6, 5, 4, 2, 3, 2, 1, 1, 3, 4, 5, 2, 5, 3, 1, 0, 5, 2, 4, 3]","[6, 5, 4, 2, 3, 2, 1, 1, 3, 4]","[5, 2, 5, 3, 1, 0, 5, 2, 4, 3]"
133,"[0, 0, 3, 5, 6, 3, 2, 3, 3, 6, 0, 6, 5, 1, 5, 4, 1, 1, 4, 4]","[0, 0, 3, 5, 6, 3, 2, 3, 3, 6]","[0, 6, 5, 1, 5, 4, 1, 1, 4, 4]"
134,"[4, 5, 0, 5, 4, 1, 3, 2, 5, 6, 1, 2, 4, 6, 0, 3, 6, 3, 3, 3]","[4, 5, 0, 5, 4, 1, 3, 2, 5, 6]","[1, 2, 4, 6, 0, 3, 6, 3, 3, 3]"
135,"[4, 4, 5, 6, 6, 0, 1, 5, 0, 0, 6, 4, 6, 1, 4, 1, 3, 1, 4, 3]","[4, 4, 5, 6, 6, 0, 1, 5, 0, 0]","[6, 4, 6, 1, 4, 1, 3, 1, 4, 3]"
136,"[0, 2, 3, 5, 4, 6, 0, 2, 2, 5, 3, 4, 4, 6, 4, 6, 4, 6, 6, 2]","[0, 2, 3, 5, 4, 6, 0, 2, 2, 5]","[3, 4, 4, 6, 4, 6, 4, 6, 6, 2]"
137,"[6, 5, 6, 1, 2, 5, 6, 4, 2, 3, 1, 4, 0, 5, 1, 3, 2, 1, 1, 3]","[6, 5, 6, 1, 2, 5, 6, 4, 2, 3]","[1, 4, 0, 5, 1, 3, 2, 1, 1, 3]"
138,"[3, 1, 4, 3, 4, 5, 2, 6, 1, 3, 6, 4, 4, 5, 0, 1, 1, 5, 3, 4]","[3, 1, 4, 3, 4, 5, 2, 6, 1, 3]","[6, 4, 4, 5, 0, 1, 1, 5, 3, 4]"
139,"[4, 1, 0, 2, 5, 3, 1, 2, 3, 4, 6, 3, 1, 0, 4, 5, 4, 2, 6, 2]","[4, 1, 0, 2, 5, 3, 1, 2, 3, 4]","[6, 3, 1, 0, 4, 5, 4, 2, 6, 2]"
140,"[3, 6, 3, 1, 6, 0, 2, 0, 1, 5, 2, 5, 2, 2, 4, 0, 1, 5, 4, 1]","[3, 6, 3, 1, 6, 0, 2, 0, 1, 5]","[2, 5, 2, 2, 4, 0, 1, 5, 4, 1]"
141,"[2, 4, 0, 0, 0, 2, 5, 6, 4, 1, 4, 1, 1, 5, 5, 3, 2, 0, 5, 2]","[2, 4, 0, 0, 0, 2, 5, 6, 4, 1]","[4, 1, 1, 5, 5, 3, 2, 0, 5, 2]"
142,"[3, 6, 2, 2, 2, 2, 2, 5, 5, 0, 5, 6, 5, 3, 3, 5, 6, 6, 0, 4]","[3, 6, 2, 2, 2, 2, 2, 5, 5, 0]","[5, 6, 5, 3, 3, 5, 6, 6, 0, 4]"
143,"[6, 3, 2, 1, 4, 2, 3, 3, 3, 3, 4, 0, 3, 5, 1, 0, 4, 6, 6, 6]","[6, 3, 2, 1, 4, 2, 3, 3, 3, 3]","[4, 0, 3, 5, 1, 0, 4, 6, 6, 6]"
144,"[5, 4, 0, 1, 5, 4, 0, 5, 4, 4, 5, 3, 5, 4, 2, 5, 2, 2, 4, 5]","[5, 4, 0, 1, 5, 4, 0, 5, 4, 4]","[5, 3, 5, 4, 2, 5, 2, 2, 4, 5]"
145,"[2, 5, 5, 3, 5, 2, 6, 5, 3, 5, 1, 3, 1, 4, 1, 2, 3, 4, 2, 4]","[2, 5, 5, 3, 5, 2, 6, 5, 3, 5]","[1, 3, 1, 4, 1, 2, 3, 4, 2, 4]"
146,"[1, 2, 6, 1, 1, 4, 0, 5, 6, 4, 6, 3, 2, 3, 6, 1, 5, 6, 6, 5]","[1, 2, 6, 1, 1, 4, 0, 5, 6, 4]","[6, 3, 2, 3, 6, 1, 5, 6, 6, 5]"
147,"[1, 3, 5, 0, 3, 2, 0, 4, 4, 0, 2, 1, 6, 4, 6, 2, 4, 1, 4, 5]","[1, 3, 5, 0, 3, 2, 0, 4, 4, 0]","[2, 1, 6, 4, 6, 2, 4, 1, 4, 5]"
148,"[6, 4, 3, 6, 2, 1, 2, 5, 0, 1, 1, 2, 5, 4, 3, 6, 0, 2, 2, 3]","[6, 4, 3, 6, 2, 1, 2, 5, 0, 1]","[1, 2, 5, 4, 3, 6, 0, 2, 2, 3]"
149,"[2, 1, 4, 4, 2, 6, 1, 4, 2, 4, 1, 4, 5, 2, 5, 1, 5, 4, 5, 6]","[2, 1, 4, 4, 2, 6, 1, 4, 2, 4]","[1, 4, 5, 2, 5, 1, 5, 4, 5, 6]"
150,"[1, 3, 3, 4, 2, 1, 2, 2, 6, 1, 0, 6, 2, 1, 1, 3, 6, 6, 2, 0]","[1, 3, 3, 4, 2, 1, 2, 2, 6, 1]","[0, 6, 2, 1, 1, 3, 6, 6, 2, 0]"
151,"[4, 6, 6, 2, 1, 3, 5, 3, 0, 0, 0, 4, 6, 5, 6, 4, 0, 3, 6, 6]","[4, 6, 6, 2, 1, 3, 5, 3, 0, 0]","[0, 4, 6, 5, 6, 4, 0, 3, 6, 6]"
152,"[2, 2, 4, 1, 2, 5, 2, 4, 5, 2, 6, 3, 4, 4, 2, 6, 0, 4, 0, 1]","[2, 2, 4, 1, 2, 5, 2, 4, 5, 2]","[6, 3, 4, 4, 2, 6, 0, 4, 0, 1]"
153,"[6, 0, 2, 6, 4, 0, 4, 3, 6, 4, 5, 5, 5, 5, 5, 6, 3, 1, 6, 3]","[6, 0, 2, 6, 4, 0, 4, 3, 6, 4]","[5, 5, 5, 5, 5, 6, 3, 1, 6, 3]"
154,"[3, 0, 6, 4, 4, 5, 3, 0, 1, 6, 2, 3, 4, 4, 4, 2, 4, 0, 2, 5]","[3, 0, 6, 4, 4, 5, 3, 0, 1, 6]","[2, 3, 4, 4, 4, 2, 4, 0, 2, 5]"
155,"[0, 0, 2, 2, 4, 2, 2, 2, 1, 6, 0, 6, 4, 6, 3, 4, 6, 5, 2, 1]","[0, 0, 2, 2, 4, 2, 2, 2, 1, 6]","[0, 6, 4, 6, 3, 4, 6, 5, 2, 1]"
156,"[4, 3, 3, 5, 1, 4, 1, 6, 1, 3, 1, 2, 5, 5, 6, 3, 2, 1, 6, 2]","[4, 3, 3, 5, 1, 4, 1, 6, 1, 3]","[1, 2, 5, 5, 6, 3, 2, 1, 6, 2]"
157,"[0, 3, 2, 3, 3, 1, 2, 3, 1, 4, 6, 2, 5, 4, 4, 3, 5, 4, 1, 6]","[0, 3, 2, 3, 3, 1, 2, 3, 1, 4]","[6, 2, 5, 4, 4, 3, 5, 4, 1, 6]"
158,"[3, 6, 0, 6, 6, 4, 4, 5, 4, 6, 4, 4, 6, 4, 3, 6, 3, 3, 3, 0]","[3, 6, 0, 6, 6, 4, 4, 5, 4, 6]","[4, 4, 6, 4, 3, 6, 3, 3, 3, 0]"
159,"[3, 2, 2, 5, 4, 6, 1, 3, 6, 5, 3, 2, 5, 5, 1, 3, 3, 6, 0, 6]","[3, 2, 2, 5, 4, 6, 1, 3, 6, 5]","[3, 2, 5, 5, 1, 3, 3, 6, 0, 6]"
160,"[3, 1, 4, 3, 4, 5, 4, 4, 5, 6, 2, 4, 0, 1, 2, 4, 2, 1, 6, 3]","[3, 1, 4, 3, 4, 5, 4, 4, 5, 6]","[2, 4, 0, 1, 2, 4, 2, 1, 6, 3]"
161,"[2, 2, 1, 5, 6, 5, 0, 4, 4, 5, 0, 1, 0, 2, 1, 5, 2, 5, 1, 1]","[2, 2, 1, 5, 6, 5, 0, 4, 4, 5]","[0, 1, 0, 2, 1, 5, 2, 5, 1, 1]"
162,"[5, 1, 0, 4, 4, 0, 5, 1, 3, 2, 3, 6, 0, 2, 2, 0, 4, 6, 3, 5]","[5, 1, 0, 4, 4, 0, 5, 1, 3, 2]","[3, 6, 0, 2, 2, 0, 4, 6, 3, 5]"
163,"[1, 0, 4, 2, 5, 1, 0, 2, 5, 1, 0, 3, 1, 2, 6, 0, 3, 0, 4, 3]","[1, 0, 4, 2, 5, 1, 0, 2, 5, 1]","[0, 3, 1, 2, 6, 0, 3, 0, 4, 3]"
164,"[2, 1, 1, 3, 5, 6, 3, 0, 5, 4, 4, 5, 6, 6, 0, 3, 5, 2, 2, 1]","[2, 1, 1, 3, 5, 6, 3, 0, 5, 4]","[4, 5, 6, 6, 0, 3, 5, 2, 2, 1]"
165,"[0, 0, 5, 3, 4, 4, 1, 2, 0, 5, 1, 5, 2, 2, 1, 6, 3, 1, 0, 0]","[0, 0, 5, 3, 4, 4, 1, 2, 0, 5]","[1, 5, 2, 2, 1, 6, 3, 1, 0, 0]"
166,"[2, 1, 3, 1, 2, 1, 1, 4, 2, 6, 1, 2, 3, 4, 0, 4, 5, 0, 5, 3]","[2, 1, 3, 1, 2, 1, 1, 4, 2, 6]","[1, 2, 3, 4, 0, 4, 5, 0, 5, 3]"
167,"[3, 5, 4, 1, 4, 3, 6, 4, 1, 6, 2, 3, 6, 1, 0, 6, 5, 4, 0, 3]","[3, 5, 4, 1, 4, 3, 6, 4, 1, 6]","[2, 3, 6, 1, 0, 6, 5, 4, 0, 3]"
168,"[1, 0, 5, 3, 4, 1, 0, 4, 6, 6, 5, 2, 6, 2, 1, 0, 6, 4, 6, 1]","[1, 0, 5, 3, 4, 1, 0, 4, 6, 6]","[5, 2, 6, 2, 1, 0, 6, 4, 6, 1]"
169,"[3, 4, 4, 5, 2, 1, 0, 0, 6, 5, 1, 6, 6, 6, 2, 4, 4, 6, 2, 0]","[3, 4, 4, 5, 2, 1, 0, 0, 6, 5]","[1, 6, 6, 6, 2, 4, 4, 6, 2, 0]"
170,"[3, 5, 3, 4, 1, 2, 4, 0, 4, 2, 1, 5, 0, 4, 4, 3, 0, 3, 5, 0]","[3, 5, 3, 4, 1, 2, 4, 0, 4, 2]","[1, 5, 0, 4, 4, 3, 0, 3, 5, 0]"
171,"[4, 3, 1, 5, 0, 3, 2, 0, 2, 5, 1, 1, 6, 1, 6, 5, 2, 4, 0, 5]","[4, 3, 1, 5, 0, 3, 2, 0, 2, 5]","[1, 1, 6, 1, 6, 5, 2, 4, 0, 5]"
172,"[5, 2, 6, 5, 4, 6, 1, 6, 6, 3, 0, 2, 1, 5, 3, 2, 0, 4, 5, 2]","[5, 2, 6, 5, 4, 6, 1, 6, 6, 3]","[0, 2, 1, 5, 3, 2, 0, 4, 5, 2]"
173,"[6, 1, 5, 0, 4, 5, 6, 2, 5, 4, 6, 6, 6, 5, 2, 6, 3, 1, 1, 3]","[6, 1, 5, 0, 4, 5, 6, 2, 5, 4]","[6, 6, 6, 5, 2, 6, 3, 1, 1, 3]"
174,"[0, 2, 5, 0, 4, 0, 2, 2, 3, 2, 3, 1, 3, 2, 1, 1, 4, 0, 3, 0]","[0, 2, 5, 0, 4, 0, 2, 2, 3, 2]","[3, 1, 3, 2, 1, 1, 4, 0, 3, 0]"
175,"[6, 5, 1, 4, 5, 3, 2, 1, 6, 1, 6, 6, 1, 5, 2, 5, 3, 0, 2, 0]","[6, 5, 1, 4, 5, 3, 2, 1, 6, 1]","[6, 6, 1, 5, 2, 5, 3, 0, 2, 0]"
176,"[0, 1, 4, 2, 5, 1, 1, 4, 5, 6, 3, 4, 5, 6, 1, 5, 6, 4, 1, 4]","[0, 1, 4, 2, 5, 1, 1, 4, 5, 6]","[3, 4, 5, 6, 1, 5, 6, 4, 1, 4]"
177,"[4, 4, 0, 4, 1, 3, 0, 2, 4, 4, 3, 2, 6, 5, 0, 0, 1, 0, 0, 3]","[4, 4, 0, 4, 1, 3, 0, 2, 4, 4]","[3, 2, 6, 5, 0, 0, 1, 0, 0, 3]"
178,"[5, 6, 1, 1, 5, 0, 1, 2, 3, 2, 1, 4, 1, 3, 5, 2, 1, 1, 4, 0]","[5, 6, 1, 1, 5, 0, 1, 2, 3, 2]","[1, 4, 1, 3, 5, 2, 1, 1, 4, 0]"
179,"[4, 0, 2, 3, 3, 1, 0, 2, 0, 5, 0, 2, 3, 1, 0, 5, 2, 3, 1, 0]","[4, 0, 2, 3, 3, 1, 0, 2, 0, 5]","[0, 2, 3, 1, 0, 5, 2, 3, 1, 0]"
180,"[4, 2, 2, 3, 2, 2, 5, 6, 4, 4, 4, 1, 3, 5, 6, 3, 1, 3, 5, 1]","[4, 2, 2, 3, 2, 2, 5, 6, 4, 4]","[4, 1, 3, 5, 6, 3, 1, 3, 5, 1]"
181,"[4, 6, 6, 0, 0, 0, 2, 2, 1, 3, 4, 6, 2, 0, 0, 2, 5, 3, 4, 6]","[4, 6, 6, 0, 0, 0, 2, 2, 1, 3]","[4, 6, 2, 0, 0, 2, 5, 3, 4, 6]"
182,"[1, 1, 6, 6, 3, 6, 0, 5, 6, 4, 5, 4, 1, 0, 2, 4, 0, 5, 3, 4]","[1, 1, 6, 6, 3, 6, 0, 5, 6, 4]","[5, 4, 1, 0, 2, 4, 0, 5, 3, 4]"
183,"[0, 4, 4, 4, 3, 5, 5, 0, 4, 2, 4, 1, 1, 4, 0, 3, 6, 6, 5, 5]","[0, 4, 4, 4, 3, 5, 5, 0, 4, 2]","[4, 1, 1, 4, 0, 3, 6, 6, 5, 5]"
184,"[5, 5, 0, 3, 2, 6, 4, 0, 5, 0, 2, 2, 1, 2, 5, 1, 1, 5, 4, 6]","[5, 5, 0, 3, 2, 6, 4, 0, 5, 0]","[2, 2, 1, 2, 5, 1, 1, 5, 4, 6]"
185,"[6, 6, 5, 5, 5, 2, 1, 3, 2, 3, 3, 0, 4, 6, 4, 0, 2, 6, 2, 5]","[6, 6, 5, 5, 5, 2, 1, 3, 2, 3]","[3, 0, 4, 6, 4, 0, 2, 6, 2, 5]"
186,"[6, 3, 2, 0, 3, 5, 0, 5, 4, 5, 5, 3, 3, 2, 6, 4, 6, 2, 0, 1]","[6, 3, 2, 0, 3, 5, 0, 5, 4, 5]","[5, 3, 3, 2, 6, 4, 6, 2, 0, 1]"
187,"[4, 0, 5, 2, 1, 5, 1, 1, 5, 6, 0, 2, 6, 4, 0, 2, 6, 2, 5, 2]","[4, 0, 5, 2, 1, 5, 1, 1, 5, 6]","[0, 2, 6, 4, 0, 2, 6, 2, 5, 2]"
188,"[5, 1, 4, 6, 0, 2, 4, 1, 4, 4, 3, 3, 6, 3, 5, 6, 2, 5, 2, 2]","[5, 1, 4, 6, 0, 2, 4, 1, 4, 4]","[3, 3, 6, 3, 5, 6, 2, 5, 2, 2]"
189,"[6, 0, 2, 6, 6, 3, 5, 0, 3, 4, 3, 1, 3, 6, 1, 6, 6, 4, 3, 0]","[6, 0, 2, 6, 6, 3, 5, 0, 3, 4]","[3, 1, 3, 6, 1, 6, 6, 4, 3, 0]"
190,"[5, 2, 1, 2, 0, 0, 5, 4, 3, 5, 5, 2, 0, 0, 6, 1, 5, 5, 5, 5]","[5, 2, 1, 2, 0, 0, 5, 4, 3, 5]","[5, 2, 0, 0, 6, 1, 5, 5, 5, 5]"
191,"[5, 4, 1, 6, 1, 5, 5, 2, 1, 0, 0, 1, 1, 4, 6, 3, 5, 0, 2, 3]","[5, 4, 1, 6, 1, 5, 5, 2, 1, 0]","[0, 1, 1, 4, 6, 3, 5, 0, 2, 3]"
192,"[5, 0, 2, 4, 3, 5, 2, 1, 1, 4, 5, 4, 0, 2, 1, 6, 5, 0, 6, 1]","[5, 0, 2, 4, 3, 5, 2, 1, 1, 4]","[5, 4, 0, 2, 1, 6, 5, 0, 6, 1]"
193,"[0, 1, 4, 1, 3, 3, 1, 4, 6, 6, 5, 1, 5, 2, 0, 0, 0, 3, 5, 2]","[0, 1, 4, 1, 3, 3, 1, 4, 6, 6]","[5, 1, 5, 2, 0, 0, 0, 3, 5, 2]"
194,"[4, 5, 4, 1, 4, 2, 0, 4, 4, 2, 6, 2, 3, 5, 0, 3, 5, 6, 6, 2]","[4, 5, 4, 1, 4, 2, 0, 4, 4, 2]","[6, 2, 3, 5, 0, 3, 5, 6, 6, 2]"
195,"[4, 1, 5, 5, 0, 0, 6, 6, 6, 1, 3, 1, 0, 1, 1, 3, 5, 2, 6, 0]","[4, 1, 5, 5, 0, 0, 6, 6, 6, 1]","[3, 1, 0, 1, 1, 3, 5, 2, 6, 0]"
196,"[6, 6, 2, 1, 3, 4, 0, 2, 5, 1, 0, 4, 4, 6, 4, 1, 6, 6, 3, 2]","[6, 6, 2, 1, 3, 4, 0, 2, 5, 1]","[0, 4, 4, 6, 4, 1, 6, 6, 3, 2]"
197,"[4, 0, 6, 4, 1, 5, 0, 3, 5, 6, 4, 2, 6, 0, 5, 5, 1, 2, 3, 0]","[4, 0, 6, 4, 1, 5, 0, 3, 5, 6]","[4, 2, 6, 0, 5, 5, 1, 2, 3, 0]"
198,"[5, 3, 2, 5, 5, 0, 6, 6, 3, 5, 0, 5, 0, 6, 0, 2, 6, 2, 6, 2]","[5, 3, 2, 5, 5, 0, 6, 6, 3, 5]","[0, 5, 0, 6, 0, 2, 6, 2, 6, 2]"
199,"[1, 6, 4, 5, 4, 5, 6, 5, 1, 1, 2, 6, 1, 0, 5, 3, 6, 5, 3, 3]","[1, 6, 4, 5, 4, 5, 6, 5, 1, 1]","[2, 6, 1, 0, 5, 3, 6, 5, 3, 3]"
200,"[1, 5, 2, 0, 4, 3, 4, 2, 1, 1, 1, 2, 2, 2, 5, 4, 0, 5, 1, 3]","[1, 5, 2, 0, 4, 3, 4, 2, 1, 1]","[1, 2, 2, 2, 5, 4, 0, 5, 1, 3]"
201,"[0, 3, 5, 6, 4, 0, 3, 3, 5, 3, 0, 6, 5, 5, 0, 4, 6, 4, 6, 0]","[0, 3, 5, 6, 4, 0, 3, 3, 5, 3]","[0, 6, 5, 5, 0, 4, 6, 4, 6, 0]"
202,"[6, 4, 1, 3, 4, 1, 0, 2, 4, 6, 5, 3, 4, 0, 6, 2, 4, 5, 0, 0]","[6, 4, 1, 3, 4, 1, 0, 2, 4, 6]","[5, 3, 4, 0, 6, 2, 4, 5, 0, 0]"
203,"[0, 2, 5, 1, 4, 3, 0, 0, 0, 6, 1, 4, 0, 6, 3, 0, 2, 2, 5, 2]","[0, 2, 5, 1, 4, 3, 0, 0, 0, 6]","[1, 4, 0, 6, 3, 0, 2, 2, 5, 2]"
204,"[4, 2, 2, 3, 1, 1, 3, 0, 6, 3, 0, 3, 6, 4, 0, 5, 5, 6, 2, 5]","[4, 2, 2, 3, 1, 1, 3, 0, 6, 3]","[0, 3, 6, 4, 0, 5, 5, 6, 2, 5]"
205,"[3, 4, 0, 4, 5, 6, 2, 6, 4, 3, 6, 0, 0, 1, 3, 6, 3, 3, 0, 4]","[3, 4, 0, 4, 5, 6, 2, 6, 4, 3]","[6, 0, 0, 1, 3, 6, 3, 3, 0, 4]"
206,"[5, 5, 3, 3, 1, 1, 3, 2, 6, 0, 1, 2, 0, 4, 0, 2, 2, 2, 4, 6]","[5, 5, 3, 3, 1, 1, 3, 2, 6, 0]","[1, 2, 0, 4, 0, 2, 2, 2, 4, 6]"
207,"[6, 4, 2, 1, 2, 1, 4, 5, 5, 1, 3, 6, 2, 4, 5, 6, 4, 5, 2, 5]","[6, 4, 2, 1, 2, 1, 4, 5, 5, 1]","[3, 6, 2, 4, 5, 6, 4, 5, 2, 5]"
208,"[3, 3, 5, 2, 3, 0, 1, 0, 5, 5, 6, 2, 3, 2, 4, 4, 0, 2, 5, 1]","[3, 3, 5, 2, 3, 0, 1, 0, 5, 5]","[6, 2, 3, 2, 4, 4, 0, 2, 5, 1]"
209,"[3, 0, 1, 5, 2, 1, 5, 2, 2, 5, 0, 4, 5, 5, 0, 2, 0, 4, 0, 6]","[3, 0, 1, 5, 2, 1, 5, 2, 2, 5]","[0, 4, 5, 5, 0, 2, 0, 4, 0, 6]"
210,"[2, 5, 0, 1, 3, 1, 2, 0, 6, 6, 6, 5, 5, 0, 6, 5, 4, 3, 1, 5]","[2, 5, 0, 1, 3, 1, 2, 0, 6, 6]","[6, 5, 5, 0, 6, 5, 4, 3, 1, 5]"
211,"[3, 3, 5, 0, 0, 3, 4, 1, 4, 6, 1, 1, 0, 1, 1, 3, 2, 4, 4, 2]","[3, 3, 5, 0, 0, 3, 4, 1, 4, 6]","[1, 1, 0, 1, 1, 3, 2, 4, 4, 2]"
212,"[5, 2, 6, 3, 0, 3, 1, 6, 4, 3, 3, 1, 0, 0, 1, 5, 1, 1, 1, 4]","[5, 2, 6, 3, 0, 3, 1, 6, 4, 3]","[3, 1, 0, 0, 1, 5, 1, 1, 1, 4]"
213,"[0, 2, 2, 6, 5, 0, 0, 4, 3, 0, 6, 0, 4, 6, 1, 4, 5, 1, 4, 1]","[0, 2, 2, 6, 5, 0, 0, 4, 3, 0]","[6, 0, 4, 6, 1, 4, 5, 1, 4, 1]"
214,"[2, 1, 4, 3, 4, 6, 4, 5, 3, 0, 0, 1, 1, 5, 0, 5, 2, 2, 0, 4]","[2, 1, 4, 3, 4, 6, 4, 5, 3, 0]","[0, 1, 1, 5, 0, 5, 2, 2, 0, 4]"
215,"[0, 3, 4, 6, 4, 4, 3, 5, 5, 5, 1, 4, 3, 2, 3, 5, 1, 4, 3, 2]","[0, 3, 4, 6, 4, 4, 3, 5, 5, 5]","[1, 4, 3, 2, 3, 5, 1, 4, 3, 2]"
216,"[3, 2, 4, 0, 6, 3, 2, 3, 4, 4, 2, 6, 0, 2, 2, 5, 2, 4, 4, 6]","[3, 2, 4, 0, 6, 3, 2, 3, 4, 4]","[2, 6, 0, 2, 2, 5, 2, 4, 4, 6]"
217,"[1, 6, 2, 5, 0, 5, 4, 4, 3, 3, 4, 0, 1, 3, 1, 3, 0, 5, 3, 3]","[1, 6, 2, 5, 0, 5, 4, 4, 3, 3]","[4, 0, 1, 3, 1, 3, 0, 5, 3, 3]"
218,"[0, 3, 1, 4, 5, 6, 5, 6, 1, 3, 2, 4, 3, 2, 2, 1, 4, 1, 2, 4]","[0, 3, 1, 4, 5, 6, 5, 6, 1, 3]","[2, 4, 3, 2, 2, 1, 4, 1, 2, 4]"
219,"[4, 0, 3, 3, 4, 4, 2, 2, 0, 1, 1, 2, 2, 6, 1, 4, 3, 0, 4, 4]","[4, 0, 3, 3, 4, 4, 2, 2, 0, 1]","[1, 2, 2, 6, 1, 4, 3, 0, 4, 4]"
